s0,s1,s2,action,reward,s0_next,s1_next,s2_next,done
0,1,0,26,0.688512,0,1,0,0
0,0,0,26,-0.688512,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
0,0,1,26,0.000000,0,0,1,0
0,0,0,26,0.000000,0,0,0,0
0,0,0,26,0.000000,0,0,0,0
1,1,1,9,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,0,0,26,0.688512,1,0,0,0
0,0,0,26,-0.688512,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
2,2,2,26,1.414214,2,2,2,0
0,0,0,26,-2.828427,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
2,2,2,26,1.414214,2,2,2,0
1,1,2,26,-1.414214,1,1,2,0
1,0,2,26,-0.725702,1,0,2,0
2,1,3,26,1.412030,2,1,3,0
1,0,2,26,-1.412030,1,0,2,0
2,1,3,26,1.412030,2,1,3,0
3,2,4,26,1.411449,3,2,4,0
4,3,5,26,1.410601,4,3,5,0
5,4,6,26,1.409295,5,4,6,0
6,5,7,26,1.407125,6,5,7,0
7,6,8,26,1.403124,7,6,8,0
8,7,9,26,1.394449,8,7,9,0
9,8,10,26,1.369483,9,8,10,0
9,8,10,26,0.000000,9,8,10,0
10,9,10,26,1.236068,10,9,10,0
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
10,9,10,26,13.142136,10,9,10,0
0,0,0,26,10.000000,0,0,0,1
10,9,9,26,13.142136,10,9,9,0
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
